MMSI,Latitude,Longitude,Speed Over Ground (SOG),Course Over Ground (COG),True Heading,Navigational Status,Timestamp (Unix),Timestamp (ISO),Date,Time (UTC)
700055111,40.282949,121.705259,2.58,180.3,511,15,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412226207,40.154452,121.80014,0.29,52.6,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
413227640,40.350591,122.015674,0.1,240.2,511,1,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412354480,40.33483,121.991377,0,312.3,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
636015457,40.298871,122.077451,0,313.6,65,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
413243650,40.254068,121.738443,0.1,139.4,308,1,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412208840,40.201573,121.957742,0,257.5,511,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
700055111,40.282867,121.705257,2.56,180.3,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412225953,40.278593,122.034189,7.51,162.6,163,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412226207,40.154467,121.800166,0.31,52.3,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413227640,40.350594,122.015677,0.1,236.9,511,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412354480,40.33483,121.991378,0,312.3,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
636015457,40.298871,122.077451,0,313.6,65,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413243650,40.254068,121.738442,0.1,139.4,308,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412208840,40.201573,121.957742,0,257.8,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
700055111,40.282784,121.705255,2.54,180.4,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412225953,40.278247,122.0343,7.52,162.8,163,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412207830,40.283545,122.091745,0,284.4,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413451140,40.269828,121.741755,0.1,23.4,292,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412226207,40.154482,121.800192,0.33,52.1,511,15,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
413227640,40.350596,122.01568,0.1,233.6,511,1,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412354480,40.33483,121.991378,0,312.3,511,15,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
636015457,40.298872,122.077451,0,313.6,65,5,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
413243650,40.254067,121.738441,0.1,139.4,308,1,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412208840,40.201572,121.957742,0.01,258,511,5,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
700055111,40.282702,121.705253,2.52,180.4,511,15,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412225953,40.2779,122.034411,7.53,162.9,163,15,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412207830,40.283545,122.091745,0,284.5,511,5,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
413451140,40.269827,121.741754,0.1,23.2,292,1,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412001510,40.284443,122.098272,0,356.8,511,5,1633046520,2021-10-01T00:02:00.000Z,2021/10/1,02:00.0
412226207,40.154496,121.800218,0.34,51.9,511,15,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
413227640,40.350599,122.015683,0.1,230.2,511,1,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412354480,40.33483,121.991379,0,312.3,511,15,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
636015457,40.298872,122.07745,0,313.6,65,5,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
413243650,40.254066,121.738441,0.1,139.3,308,1,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412208840,40.201572,121.957742,0.01,258.3,511,5,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
700055111,40.28262,121.705251,2.51,180.5,511,15,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412225953,40.277554,122.034522,7.55,163.1,163,15,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412207830,40.283545,122.091745,0,284.7,511,5,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
413451140,40.269827,121.741754,0.1,22.9,292,1,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412001510,40.284443,122.098272,0,356.8,511,5,1633046530,2021-10-01T00:02:10.000Z,2021/10/1,02:10.0
412226207,40.154511,121.800244,0.36,51.6,511,15,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
413227640,40.350601,122.015685,0.1,226.9,511,1,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
412354480,40.334831,121.99138,0,312.3,511,15,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
636015457,40.298872,122.07745,0,313.6,65,5,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
413243650,40.254066,121.73844,0.1,139.3,308,1,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
412208840,40.201572,121.957742,0.01,258.6,511,5,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
700055111,40.282538,121.705248,2.49,180.6,511,15,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
412001580,40.282935,122.099151,0,58.3,511,5,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
412225953,40.277207,122.034632,7.56,163.3,163,15,1633046540,2021-10-01T00:02:20.000Z,2021/10/1,02:20.0
